Neighborhood (U.H.F)=Greenpoint,SEX=Male,RACE/ETHNICITY=Black,TOTAL NUMBER OF HIV DIAGNOSES=Medium,HIV PER 100K=High,TOTAL NUMBER OF AIDS DIAGNOSES=Medium,AIDS PER 100K=High
Neighborhood (U.H.F)=Stapleton - St. George,SEX=Female,RACE/ETHNICITY=Native American,TOTAL NUMBER OF HIV DIAGNOSES=Low,HIV PER 100K=Low,TOTAL NUMBER OF AIDS DIAGNOSES=Low,AIDS PER 100K=Low
Neighborhood (U.H.F)=Southeast Queens,SEX=Male,RACE/ETHNICITY=All,TOTAL NUMBER OF HIV DIAGNOSES=High,HIV PER 100K=Medium,TOTAL NUMBER OF AIDS DIAGNOSES=High,AIDS PER 100K=Medium
Neighborhood (U.H.F)=East Flatbush - Flatbush,SEX=Male,RACE/ETHNICITY=Black,TOTAL NUMBER OF HIV DIAGNOSES=High,HIV PER 100K=High,TOTAL NUMBER OF AIDS DIAGNOSES=High,AIDS PER 100K=High
Neighborhood (U.H.F)=East Flatbush - Flatbush,SEX=Female,RACE/ETHNICITY=Native American,TOTAL NUMBER OF HIV DIAGNOSES=Low,HIV PER 100K=Low,TOTAL NUMBER OF AIDS DIAGNOSES=Low,AIDS PER 100K=Low
Neighborhood (U.H.F)=Flushing - Clearview,SEX=All,RACE/ETHNICITY=All,TOTAL NUMBER OF HIV DIAGNOSES=High,HIV PER 100K=Low,TOTAL NUMBER OF AIDS DIAGNOSES=High,AIDS PER 100K=Medium
Neighborhood (U.H.F)=Greenpoint,SEX=Female,RACE/ETHNICITY=Multiracial,TOTAL NUMBER OF HIV DIAGNOSES=Low,HIV PER 100K=Low,TOTAL NUMBER OF AIDS DIAGNOSES=Low,AIDS PER 100K=Low
Neighborhood (U.H.F)=Coney Island - Sheepshead Bay,SEX=Male,RACE/ETHNICITY=Multiracial,TOTAL NUMBER OF HIV DIAGNOSES=Low,HIV PER 100K=Low,TOTAL NUMBER OF AIDS DIAGNOSES=Low,AIDS PER 100K=Low
Neighborhood (U.H.F)=Southwest Queens,SEX=Female,RACE/ETHNICITY=Multiracial,TOTAL NUMBER OF HIV DIAGNOSES=Low,HIV PER 100K=Low,TOTAL NUMBER OF AIDS DIAGNOSES=Low,AIDS PER 100K=Low
Neighborhood (U.H.F)=Willowbrook,SEX=Male,RACE/ETHNICITY=Asian/Pacific Islander,TOTAL NUMBER OF HIV DIAGNOSES=Low,HIV PER 100K=Low,TOTAL NUMBER OF AIDS DIAGNOSES=Low,AIDS PER 100K=Low
Neighborhood (U.H.F)=Flushing - Clearview,SEX=Male,RACE/ETHNICITY=Asian/Pacific Islander,TOTAL NUMBER OF HIV DIAGNOSES=Medium,HIV PER 100K=Medium,TOTAL NUMBER OF AIDS DIAGNOSES=Medium,AIDS PER 100K=Medium
Neighborhood (U.H.F)=Gramercy Park - Murray Hill,SEX=Male,RACE/ETHNICITY=Black,TOTAL NUMBER OF HIV DIAGNOSES=Medium,HIV PER 100K=High,TOTAL NUMBER OF AIDS DIAGNOSES=Medium,AIDS PER 100K=High
Neighborhood (U.H.F)=Crotona - Tremont,SEX=Female,RACE/ETHNICITY=Native American,TOTAL NUMBER OF HIV DIAGNOSES=Low,HIV PER 100K=Low,TOTAL NUMBER OF AIDS DIAGNOSES=Low,AIDS PER 100K=Low
Neighborhood (U.H.F)=Jamaica,SEX=Female,RACE/ETHNICITY=Multiracial,TOTAL NUMBER OF HIV DIAGNOSES=Low,HIV PER 100K=Low,TOTAL NUMBER OF AIDS DIAGNOSES=Low,AIDS PER 100K=Low
Neighborhood (U.H.F)=Gramercy Park - Murray Hill,SEX=Female,RACE/ETHNICITY=All,TOTAL NUMBER OF HIV DIAGNOSES=Medium,HIV PER 100K=Low,TOTAL NUMBER OF AIDS DIAGNOSES=Low,AIDS PER 100K=Low
Neighborhood (U.H.F)=Fordham - Bronx Park,SEX=Female,RACE/ETHNICITY=Asian/Pacific Islander,TOTAL NUMBER OF HIV DIAGNOSES=Low,HIV PER 100K=Low,TOTAL NUMBER OF AIDS DIAGNOSES=Low,AIDS PER 100K=Low
Neighborhood (U.H.F)=South Beach - Tottenville,SEX=All,RACE/ETHNICITY=All,TOTAL NUMBER OF HIV DIAGNOSES=Medium,HIV PER 100K=Low,TOTAL NUMBER OF AIDS DIAGNOSES=Medium,AIDS PER 100K=Low
Neighborhood (U.H.F)=Union Square - Lower Eastside,SEX=Female,RACE/ETHNICITY=Multiracial,TOTAL NUMBER OF HIV DIAGNOSES=Low,HIV PER 100K=Low,TOTAL NUMBER OF AIDS DIAGNOSES=Low,AIDS PER 100K=Low
Neighborhood (U.H.F)=Borough Park,SEX=Male,RACE/ETHNICITY=Multiracial,TOTAL NUMBER OF HIV DIAGNOSES=Low,HIV PER 100K=Low,TOTAL NUMBER OF AIDS DIAGNOSES=Low,AIDS PER 100K=Low
